(20.89, -26.67)
(19.99, -29.56)
(16.93, -28.66)
(14.4, -26.31)
(12.42, -23.07)
(12.06, -20)
(10.08, -16.96)
(7.19, -17.3)
(4.67, -20.55)
(2.32, -25.23)
(6.65, -26.13)
(7.37, -28.84)
(2.68, -28.66)
(-2.54, -28.66)
(-8.13, -28.66)
(-13.54, -28.66)
(-15.88, -27.04)
(-21.11, -28.3)
(-26.7, -30.46)
(-30.13, -33.17)
(-29.77, -36.05)
(-28.32, -39.11)
(-32.11, -37.67)
(-34.09, -35.33)
(-33.73, -30.64)
(-30.85, -28.3)
(-27.06, -26.67)
(-23.28, -25.05)
(-19.85, -22.53)
(-17.51, -19.64)
(-16.61, -16.22)
(-16.07, -12.97)
(-15.16, -9.91)
(-14.26, -7.02)
(-12.46, -3.96)
(-9.57, 0.01)
(-6.33, 3.25)
(-2.18, 5.42)
(2.32, 6.68)
(7.37, 7.4)
(10.44, 8.84)
(10.08, 12.99)
(8.81, 17.67)
(8.09, 21.82)
(9.54, 23.98)
(12.78, 21.82)
(16.39, 20.56)
(20.35, 23.08)
(22.52, 25.61)
(24.32, 22.72)
(24.5, 18.94)
(25.94, 15.51)
(25.4, 11.18)
(22.7, 10.64)
(23.42, 6.86)
(23.96, 3.07)
(23.24, -0.71)
(20.89, -3.6)
(17.83, -7.02)
(16.39, -11.17)
(15.85, -14.6)
(16.21, -19.28)
(17.83, -23.61)
