(17.06, -32.14)
(10.77, -32.43)
(5.91, -29)
(3.62, -22.13)
(3.91, -15.56)
(4.74, -9.89)
(5.33, -2.95)
(6.33, 3.39)
(7.12, 12.52)
(2.16, 13.11)
(-2.99, 13.11)
(-4.48, 9.39)
(-5.34, 3.79)
(-5.77, -0.3)
(-6.2, -5.68)
(-6.85, -11.71)
(-7.93, -18.17)
(-9.43, -24.84)
(-12.02, -29.14)
(-15.03, -31.73)
(-19.33, -32.37)
(-23.21, -30.65)
(-24.93, -26.13)
(-24.5, -22.47)
(-21.27, -19.67)
(-16.32, -15.58)
(-13.74, -8.48)
(-12.18, -1.71)
(-10.73, 6.51)
(-10.25, 12.63)
(-15.24, 12.79)
(-18.79, 12.47)
(-20.93, 11.45)
(-23.53, 8.69)
(-25.83, 5.33)
(-28.58, 5.02)
(-26, 11.72)
(-24.02, 15.49)
(-19.45, 20.05)
(-13.9, 21.04)
(-7.75, 21.64)
(-0.61, 22.03)
(5.93, 22.03)
(17.43, 22.23)
(26.16, 21.84)
(26.16, 17.27)
(26.16, 12.52)
(19.41, 12.71)
(14.46, 12.52)
(13.66, 4.78)
(13.07, -3.75)
(12.67, -8.9)
(12.28, -14.45)
(12.08, -19.21)
(13.47, -23.57)
(16.64, -25.36)
(21.4, -22.19)
(22.19, -17.62)
(23.38, -14.65)
(26.75, -14.65)
(26.55, -19.61)
(24.97, -25.36)
(21, -30.12)
